id,geometric_center,nearest_node,bbox,population,workplaces,n_commuters,n_car_trips,n_motorbike_trips,n_public_trips
0_0,"(38.66608, 8.859970000000002)","(38.6616972, 8.8598576)","POLYGON ((38.69276 8.833500000000003, 38.69276 8.886440000000002, 38.6394 8.886440000000002, 38.6394 8.833500000000003, 38.69276 8.833500000000003))",2696.653,0,1584,1584,0,0
0_1,"(38.66608, 8.912910000000002)","(38.6616075, 8.9182392)","POLYGON ((38.69276 8.886440000000002, 38.69276 8.939380000000002, 38.6394 8.939380000000002, 38.6394 8.886440000000002, 38.69276 8.886440000000002))",116534.45,2,68461,68461,0,0
0_2,"(38.66608, 8.965850000000001)","(38.6627544, 8.9662012)","POLYGON ((38.69276 8.939380000000002, 38.69276 8.992320000000001, 38.6394 8.992320000000001, 38.6394 8.939380000000002, 38.69276 8.939380000000002))",295214.56,12,173432,173432,0,0
0_3,"(38.66608, 9.018790000000001)","(38.6725711, 9.0252296)","POLYGON ((38.69276 8.992320000000001, 38.69276 9.04526, 38.6394 9.04526, 38.6394 8.992320000000001, 38.69276 8.992320000000001))",223126.03,15,131082,131082,0,0
0_4,"(38.66608, 9.07173)","(38.6660762, 9.0707519)","POLYGON ((38.69276 9.04526, 38.69276 9.0982, 38.6394 9.0982, 38.6394 9.04526, 38.69276 9.04526))",118329.11,7,69515,69515,0,0
1_0,"(38.71944, 8.859970000000002)","(38.7414186, 8.8666918)","POLYGON ((38.74612 8.833500000000003, 38.74612 8.886440000000002, 38.69276 8.886440000000002, 38.69276 8.833500000000003, 38.74612 8.833500000000003))",2045.1077,0,1201,1201,0,0
1_1,"(38.71944, 8.912910000000002)","(38.7161792, 8.9156728)","POLYGON ((38.74612 8.886440000000002, 38.74612 8.939380000000002, 38.69276 8.939380000000002, 38.69276 8.886440000000002, 38.74612 8.886440000000002))",86428.086,15,50774,50774,0,0
1_2,"(38.71944, 8.965850000000001)","(38.7188699, 8.964019)","POLYGON ((38.74612 8.939380000000002, 38.74612 8.992320000000001, 38.69276 8.992320000000001, 38.69276 8.939380000000002, 38.74612 8.939380000000002))",431342.66,85,253405,253405,0,0
1_3,"(38.71944, 9.018790000000001)","(38.7178761, 9.0167999)","POLYGON ((38.74612 8.992320000000001, 38.74612 9.04526, 38.69276 9.04526, 38.69276 8.992320000000001, 38.74612 8.992320000000001))",1204578.4,147,707665,707665,0,0
1_4,"(38.71944, 9.07173)","(38.7198517, 9.0699181)","POLYGON ((38.74612 9.04526, 38.74612 9.0982, 38.69276 9.0982, 38.69276 9.04526, 38.74612 9.04526))",459334.22,55,269849,269849,0,0
2_0,"(38.772800000000004, 8.859970000000002)","(38.7768864, 8.8606748)","POLYGON ((38.799479999999996 8.833500000000003, 38.799479999999996 8.886440000000002, 38.74612 8.886440000000002, 38.74612 8.833500000000003, 38.799479999999996 8.833500000000003))",78806.76,14,46297,46297,0,0
2_1,"(38.772800000000004, 8.912910000000002)","(38.7695489, 8.910991)","POLYGON ((38.799479999999996 8.886440000000002, 38.799479999999996 8.939380000000002, 38.74612 8.939380000000002, 38.74612 8.886440000000002, 38.799479999999996 8.886440000000002))",197201.52,40,115851,115851,0,0
2_2,"(38.772800000000004, 8.965850000000001)","(38.7714608, 8.9625775)","POLYGON ((38.799479999999996 8.939380000000002, 38.799479999999996 8.992320000000001, 38.74612 8.992320000000001, 38.74612 8.939380000000002, 38.799479999999996 8.939380000000002))",386233.1,163,226904,226904,0,0
2_3,"(38.772800000000004, 9.018790000000001)","(38.7722293, 9.0207369)","POLYGON ((38.799479999999996 8.992320000000001, 38.799479999999996 9.04526, 38.74612 9.04526, 38.74612 8.992320000000001, 38.799479999999996 8.992320000000001))",905448.75,456,531933,531933,0,0
2_4,"(38.772800000000004, 9.07173)","(38.7743586, 9.0657201)","POLYGON ((38.799479999999996 9.04526, 38.799479999999996 9.0982, 38.74612 9.0982, 38.74612 9.04526, 38.799479999999996 9.04526))",384944.25,23,226147,226147,0,0
3_0,"(38.82616, 8.859970000000002)","(38.8247777, 8.8627717)","POLYGON ((38.85284 8.833500000000003, 38.85284 8.886440000000002, 38.79948 8.886440000000002, 38.79948 8.833500000000003, 38.85284 8.833500000000003))",58815.75,14,34553,34553,0,0
3_1,"(38.82616, 8.912910000000002)","(38.8296988, 8.9164758)","POLYGON ((38.85284 8.886440000000002, 38.85284 8.939380000000002, 38.79948 8.939380000000002, 38.79948 8.886440000000002, 38.85284 8.886440000000002))",41986.637,5,24666,24666,0,0
3_2,"(38.82616, 8.965850000000001)","(38.8249755, 8.9730617)","POLYGON ((38.85284 8.939380000000002, 38.85284 8.992320000000001, 38.79948 8.992320000000001, 38.79948 8.939380000000002, 38.85284 8.939380000000002))",55824.04,7,32795,32795,0,0
3_3,"(38.82616, 9.018790000000001)","(38.8261164, 9.0195821)","POLYGON ((38.85284 8.992320000000001, 38.85284 9.04526, 38.79948 9.04526, 38.79948 8.992320000000001, 38.85284 8.992320000000001))",464148.75,149,272678,272678,0,0
3_4,"(38.82616, 9.07173)","(38.8255781, 9.06194)","POLYGON ((38.85284 9.04526, 38.85284 9.0982, 38.79948 9.0982, 38.79948 9.04526, 38.85284 9.04526))",39888.44,0,23433,23433,0,0
4_0,"(38.87952, 8.859970000000002)","(38.8739567, 8.8608475)","POLYGON ((38.9062 8.833500000000003, 38.9062 8.886440000000002, 38.85284 8.886440000000002, 38.85284 8.833500000000003, 38.9062 8.833500000000003))",5295.9287,0,3111,3111,0,0
4_1,"(38.87952, 8.912910000000002)","(38.8769174, 8.9162172)","POLYGON ((38.9062 8.886440000000002, 38.9062 8.939380000000002, 38.85284 8.939380000000002, 38.85284 8.886440000000002, 38.9062 8.886440000000002))",1244.516,0,731,731,0,0
4_2,"(38.87952, 8.965850000000001)","(38.8842621, 8.9655833)","POLYGON ((38.9062 8.939380000000002, 38.9062 8.992320000000001, 38.85284 8.992320000000001, 38.85284 8.939380000000002, 38.9062 8.939380000000002))",29476.66,1,17316,17316,0,0
4_3,"(38.87952, 9.018790000000001)","(38.8793147, 9.0197362)","POLYGON ((38.9062 8.992320000000001, 38.9062 9.04526, 38.85284 9.04526, 38.85284 8.992320000000001, 38.9062 8.992320000000001))",192234.97,44,112934,112934,0,0
4_4,"(38.87952, 9.07173)","(38.877828, 9.0705368)","POLYGON ((38.9062 9.04526, 38.9062 9.0982, 38.85284 9.0982, 38.85284 9.04526, 38.9062 9.04526))",105213.484,6,61810,61810,0,0
