coord1,coord2,euclidean_distance,road_distance
"(38.798451570580994, 9.093588043139158)","(38.851056077924625, 8.91573547422594)",16511.81344008855,31198.4
"(38.798451570580994, 9.093588043139158)","(38.69940077574608, 9.082076817824529)",11041.138794382145,20563.2
"(38.798451570580994, 9.093588043139158)","(38.856019477042906, 9.082284960397475)",6465.6734053689115,14961.5
"(38.798451570580994, 9.093588043139158)","(38.80830517242568, 8.889479184331964)",17763.755079749735,31965.7
"(38.798451570580994, 9.093588043139158)","(38.85929607397043, 8.87317344985245)",20296.507875724783,37568.6
"(38.798451570580994, 9.093588043139158)","(38.84052936919385, 8.927561969889897)",15156.476526044242,29387.0
"(38.798451570580994, 9.093588043139158)","(38.72523988783634, 9.072024556271598)",8340.602048445264,13536.3
"(38.798451570580994, 9.093588043139158)","(38.726528458924406, 9.074163760669157)",8160.792987316446,13807.0
"(38.798451570580994, 9.093588043139158)","(38.855200089614065, 9.086521963105232)",6329.588447772233,14725.6
"(38.851056077924625, 8.91573547422594)","(38.69940077574608, 9.082076817824529)",22189.624605317305,34374.7
"(38.851056077924625, 8.91573547422594)","(38.856019477042906, 9.082284960397475)",14467.773983378549,28170.9
"(38.851056077924625, 8.91573547422594)","(38.80830517242568, 8.889479184331964)",5265.111486277722,7595.8
"(38.851056077924625, 8.91573547422594)","(38.85929607397043, 8.87317344985245)",3806.0587203945797,8758.2
"(38.851056077924625, 8.91573547422594)","(38.84052936919385, 8.927561969889897)",1555.5530025766532,2502.3
"(38.851056077924625, 8.91573547422594)","(38.72523988783634, 9.072024556271598)",19479.943969803313,27608.9
"(38.851056077924625, 8.91573547422594)","(38.726528458924406, 9.074163760669157)",19508.246237259445,27879.6
"(38.851056077924625, 8.91573547422594)","(38.855200089614065, 9.086521963105232)",14832.290508041555,28406.8
"(38.69940077574608, 9.082076817824529)","(38.856019477042906, 9.082284960397475)",17386.44615128537,30617.2
"(38.69940077574608, 9.082076817824529)","(38.80830517242568, 8.889479184331964)",20650.45871181125,37280.5
"(38.69940077574608, 9.082076817824529)","(38.85929607397043, 8.87317344985245)",25388.692845691086,43040.2
"(38.69940077574608, 9.082076817824529)","(38.84052936919385, 8.927561969889897)",20634.164515977136,34543.9
"(38.69940077574608, 9.082076817824529)","(38.72523988783634, 9.072024556271598)",2998.6878742256476,8673.0
"(38.69940077574608, 9.082076817824529)","(38.726528458924406, 9.074163760669157)",3089.089248269466,8915.6
"(38.69940077574608, 9.082076817824529)","(38.855200089614065, 9.086521963105232)",17299.78718706064,30853.2
"(38.856019477042906, 9.082284960397475)","(38.80830517242568, 8.889479184331964)",17559.41700625082,31372.7
"(38.856019477042906, 9.082284960397475)","(38.85929607397043, 8.87317344985245)",18154.457215739116,36975.6
"(38.856019477042906, 9.082284960397475)","(38.84052936919385, 8.927561969889897)",13541.30115304217,28794.0
"(38.856019477042906, 9.082284960397475)","(38.72523988783634, 9.072024556271598)",14545.379109680327,23665.2
"(38.856019477042906, 9.082284960397475)","(38.726528458924406, 9.074163760669157)",14392.297850095392,23935.9
"(38.856019477042906, 9.082284960397475)","(38.855200089614065, 9.086521963105232)",378.86292633505604,236.0
"(38.80830517242568, 8.889479184331964)","(38.85929607397043, 8.87317344985245)",5834.989270373612,7395.6
"(38.80830517242568, 8.889479184331964)","(38.84052936919385, 8.927561969889897)",4871.745346117783,8424.7
"(38.80830517242568, 8.889479184331964)","(38.72523988783634, 9.072024556271598)",18350.173194600415,30347.5
"(38.80830517242568, 8.889479184331964)","(38.726528458924406, 9.074163760669157)",18440.183676435878,30618.2
"(38.80830517242568, 8.889479184331964)","(38.855200089614065, 9.086521963105232)",17883.928291644515,31145.4
"(38.85929607397043, 8.87317344985245)","(38.84052936919385, 8.927561969889897)",5160.63071128755,14391.0
"(38.85929607397043, 8.87317344985245)","(38.72523988783634, 9.072024556271598)",22801.918032069523,40596.4
"(38.85929607397043, 8.87317344985245)","(38.726528458924406, 9.074163760669157)",22850.40538857034,40839.0
"(38.85929607397043, 8.87317344985245)","(38.855200089614065, 9.086521963105232)",18524.270995363153,37111.7
"(38.84052936919385, 8.927561969889897)","(38.72523988783634, 9.072024556271598)",17926.610446861563,26300.2
"(38.84052936919385, 8.927561969889897)","(38.726528458924406, 9.074163760669157)",17956.067507832468,26570.9
"(38.84052936919385, 8.927561969889897)","(38.855200089614065, 9.086521963105232)",13895.344225663976,27098.1
"(38.72523988783634, 9.072024556271598)","(38.726528458924406, 9.074163760669157)",234.66330000242826,297.4
"(38.72523988783634, 9.072024556271598)","(38.855200089614065, 9.086521963105232)",14481.953057609804,24369.1
"(38.726528458924406, 9.074163760669157)","(38.855200089614065, 9.086521963105232)",14324.326225308454,24639.8
